#*******账务明细查询,,,,,,,,,,,,,,
#账号：[20886111050234140156],,,,,,,,,,,,,,
#起始日期：[2020年07月01日 00:00:00]   终止日期：[2020年08月01日 00:00:00],,,,,,,,,,,,,,
#-----------------------------------------账务明细列表----------------------------------------,,,,,,,,,,,,,,
账务流水号,业务流水号,商户订单号,商品名称,发生时间,收入金额（+元）,支出金额（-元）,账户余额（元）,交易渠道,业务类型,备注,业务描述,业务账单来源,业务基础订单号,业务订单号
"321393340927331	","20200*****22001124331420653287	","T200P1073005408984068487	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:01,1340,0,1941719.84,*******,在线支付,*****分期交易号[20200*****22001124331420653287],0010001|交易收款-交易收款,商家中心,"1073005408984068487	",M{1073005408984068487}
"321391755797330	","20200*****22001124331420653287	","T200P1073005408984068487	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:01,0,-60.3,1941659.54,*******,收费,*****分期服务费[20200*****22001124331420653287],003003800001|软件服务费-*******服务费-*****分期,*****商家中心,"1073005408984068487	",M{1073005408984068487}
"321205925467410	","BO2020070146046509410205	","CAE_POINT_1073005408984068487_2_0	",,01/07/2020 00:01,0,-6.7,1941652.84,*******,转账,代扣返点积分1073005408984068487,0030001|软件服务费-****返点积分,账房,"1073005408984068487	",M{1073005408984068487}
"321205030155410	","BO2020070146179586410205	","HJCOM==3200060031==2748349103990251==1073005408984068487	",,01/07/2020 00:01,0,-53.6,1941599.24,*******,转账,****佣金（类目）{1073005408984068487}扣款,0030003|软件服务费-****佣金,账房,"1073005408984068487	",M{1073005408984068487}|S{1073005408984068487}
"324020508469921	","20200*****22001101921420974496	","T200P1073116000093076875	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:01,1340,0,1942939.24,*******,在线支付,*****分期交易号[20200*****22001101921420974496],0010001|交易收款-交易收款,商家中心,"1073116000093076875	",M{1073116000093076875}
"324020335859920	","20200*****22001101921420974496	","T200P1073116000093076875	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:01,0,-60.3,1942878.94,*******,收费,*****分期服务费[20200*****22001101921420974496],003003800001|软件服务费-*******服务费-*****分期,*****商家中心,"1073116000093076875	",M{1073116000093076875}
"321204977829410	","BO2020070146299292410205	","CAE_POINT_1073116000093076875_2_0	",,01/07/2020 00:01,0,-6.7,1942872.24,*******,转账,代扣返点积分1073116000093076875,0030001|软件服务费-****返点积分,账房,"1073116000093076875	",M{1073116000093076875}
"321205381469410	","BO2020070146234994410205	","HJCOM==3200060031==2748333178870251==1073116000093076875	",,01/07/2020 00:01,0,-53.6,1942818.64,*******,转账,****佣金（类目）{1073116000093076875}扣款,0030003|软件服务费-****佣金,账房,"1073116000093076875	",M{1073116000093076875}|S{1073116000093076875}
"321740593639731	","2020061422001236731409988699	","T10000P596129828744860799	",【*****预售】*******************抗皱霜 ****************小针管,01/07/2020 00:01,80,0,1942898.64,*******,交易付款,*****交易号[2020061422001236731409988699],0010001|交易收款-交易收款,商家中心,"596129828744860799	",M{596129828744860799}
"321740593640731	","2020061422001236731409988699	","T10000P596129828744860799	",【*****预售】*******************抗皱霜 ****************小针管,01/07/2020 00:01,650,0,1943548.64,*******,交易付款,*****交易号[2020061422001236731409988699],0010001|交易收款-交易收款,商家中心,"596129828744860799	",M{596129828744860799}
